project_id,project_title,domain,sub_domains,description,tools,technologies,languages,tasks
PRJ00001,Real-Time Fraud Detection Monitor,Machine Learning,Fraud Detection,"An internally developed Fraud Detection tool that consolidates fragmented workflows into a single interface for startups. Built primarily with MATLAB, using Vue.js and Angular, with Jenkins for version control and workflow tracking.",Jenkins; DBeaver; Kubernetes; Docker Compose,Vue.js; Angular; Flask; REST API; TensorFlow; Solidity,MATLAB,monitoring setup; third-party API integration; security auditing; model evaluation; integration testing
PRJ00002,Intelligent Payment Gateways Assistant,FinTech,Payment Gateways,"Developed over multiple sprints, this Payment Gateways product addresses core pain points reported by financial institutions during early user research. Built primarily with C and Kotlin, using MongoDB and FastAPI, with Grafana for version control and workflow tracking.",Grafana; VS Code; Slack; RabbitMQ; Jenkins,MongoDB; FastAPI; Microsoft Azure,C; Kotlin; JavaScript,security auditing; API development; model training; database schema design; UX research; code review; third-party API integration
PRJ00003,Lending Platforms Modernization Initiative,FinTech,Lending Platforms,"Built using an agile development approach, this lending platforms initiative helps healthcare providers cut manual effort and speed up daily operations. Built primarily with Go and Kotlin, using Keras and GraphDB, with Prometheus for version control and workflow tracking.",Prometheus; Kubernetes; Trello; Jenkins,Keras; GraphDB; Next.js; Firebase; Laravel; Kafka Streams,Go; Kotlin; TypeScript,third-party API integration; backend service implementation; security auditing; bug fixing; integration testing; stakeholder presentations; hyperparameter tuning; model training
PRJ00004,Real-Time Genomics Data Analysis Monitor,Healthcare Technology,Genomics Data Analysis,"Built using an agile development approach, this genomics data analysis initiative helps educators cut manual effort and speed up daily operations. Built primarily with Go and SQL, using REST API and WebSockets, with Apache Kafka for version control and workflow tracking.",Apache Kafka; CircleCI; Grafana,REST API; WebSockets; OAuth2,Go; SQL; R,frontend UI implementation; performance optimization; UX research; integration testing; bug fixing; security auditing; data visualization
PRJ00005,Real-Time Trading Platforms Monitor,FinTech,Trading Platforms,"A mobile-first Trading Platforms experience created to give logistics companies on-the-go access to critical data and workflows. Built primarily with C and TypeScript, using Ruby on Rails and Next.js, with Power BI for version control and workflow tracking.",Power BI; Tableau; Kubernetes; Jira,Ruby on Rails; Next.js; Laravel,C; TypeScript; R; MATLAB,hyperparameter tuning; CI/CD pipeline setup; performance optimization; security auditing; requirement gathering; load testing; bug fixing; API development
PRJ00006,Automated NFT Platforms Framework,Blockchain,NFT Platforms; Smart Contracts,"A robust NFT Platforms platform that leverages modern technologies to solve key challenges faced by non-profits. Built primarily with C# and MATLAB, using Next.js and Solidity, with Git for version control and workflow tracking.",Git; Ansible; Power BI; PyCharm; Helm; Jenkins,Next.js; Solidity; Hadoop; GraphQL; Ruby on Rails,C#; MATLAB; Solidity,user authentication implementation; data preprocessing; deployment automation; requirement gathering
PRJ00007,Streamlined Expert Systems Workflow System,Artificial Intelligence,Expert Systems,"This expert systems project was developed to replace legacy processes for enterprises, resulting in faster turnaround and fewer errors. Built primarily with Kotlin and Solidity, using Express.js and Bootstrap, with Kubernetes for version control and workflow tracking.",Kubernetes; Tableau; Docker,Express.js; Bootstrap; Ethereum; WebRTC,Kotlin; Solidity,model evaluation; unit testing; security auditing; data visualization; bug fixing; monitoring setup; stakeholder presentations; container orchestration
PRJ00008,Distributed Databases Data Pipeline,Database Systems,Distributed Databases; Data Warehousing,"An end-to-end Distributed Databases application built to provide content creators with real-time insights and actionable analytics. Built primarily with JavaScript, using Angular and Apache Spark, with Terraform for version control and workflow tracking.",Terraform; Trello; Docker,Angular; Apache Spark; WebRTC; TensorFlow; React,JavaScript,database schema design; stakeholder presentations; system architecture design; version control management; data preprocessing
PRJ00009,HR Management Systems Insights for Gamers,Enterprise Software,HR Management Systems,"A robust HR Management Systems platform that leverages modern technologies to solve key challenges faced by gamers. Built primarily with Scala and Dart, using FastAPI and Bootstrap, with Weights & Biases for version control and workflow tracking.",Weights & Biases; Metasploit; Terraform; Travis CI,FastAPI; Bootstrap; Redis; Microsoft Azure,Scala; Dart; JavaScript; Java,model training; bug fixing; data preprocessing; cloud infrastructure setup
PRJ00010,Container Orchestration Analytics Dashboard,DevOps,Container Orchestration,"A data-driven Container Orchestration platform that combines automation, reporting, and integrations to support researchers at scale. Built primarily with TypeScript, using Node.js and Tailwind CSS, with PyCharm for version control and workflow tracking.",PyCharm; Grafana; Burp Suite; Terraform; Docker; Wireshark,Node.js; Tailwind CSS; Unreal Engine,TypeScript,backend service implementation; model evaluation; deployment automation; unit testing; version control management
